id;zone1_id;zone2_id;euclidean_distance
54830;4;50;39.0
54831;4;51;27.0
54832;4;52;16.0
54833;4;53;14.0
54834;4;54;4.0
54835;4;55;15.0
54836;4;56;14.0
54837;4;57;19.0
54838;4;58;30.0
54839;4;59;45.0
54840;4;60;44.0
54841;4;61;52.0
54842;4;62;52.0
54843;4;63;58.0
54844;4;64;44.0
54845;4;65;23.0
54846;4;66;33.0
54847;4;67;70.0
54848;4;68;65.0
54849;4;69;54.0
54850;5;1;57.0
54851;5;2;40.0
54852;5;3;31.0
54853;5;4;17.0
54854;5;6;7.0
54855;5;7;15.0
54856;5;8;25.0
54857;5;9;39.0
54858;5;10;48.0
54859;5;11;70.0
54860;5;12;74.0
54861;5;13;77.0
54862;5;14;59.0
54863;5;15;57.0
54864;5;16;50.0
54865;5;17;61.0
54866;5;18;27.0
54867;5;19;21.0
54868;5;20;51.0
54869;5;21;19.0
54870;5;22;49.0
54871;5;23;61.0
54872;5;24;57.0
54873;5;25;60.0
54874;5;26;72.0
54875;5;27;78.0
54876;5;28;71.0
54877;5;29;63.0
54878;5;30;57.0
54879;5;31;55.0
54880;5;32;58.0
54881;5;33;63.0
54882;5;34;42.0
54883;5;35;39.0
54884;5;36;47.0
54885;5;37;70.0
54886;5;38;51.0
54887;5;39;57.0
54888;5;40;73.0
54889;5;41;61.0
54890;5;42;67.0
54891;5;43;79.0
54892;5;44;38.0
54893;5;45;41.0
54894;5;46;43.0
54895;5;47;41.0
54896;5;48;34.0
54897;5;49;27.0
54898;5;50;22.0
54899;5;51;10.0
54900;5;52;3.0
54901;5;53;11.0
54902;5;54;17.0
54903;5;55;27.0
54904;5;56;30.0
54905;5;57;36.0
54906;5;58;47.0
54907;5;59;62.0
54908;5;60;58.0
54909;5;61;66.0
54910;5;62;64.0
54911;5;63;69.0
54912;5;64;55.0
54913;5;65;34.0
54914;5;66;21.0
54915;5;67;55.0
54916;5;68;47.0
54917;5;69;37.0
54918;6;1;64.0
54919;6;2;47.0
54920;6;3;38.0
54921;6;4;24.0
54922;6;5;7.0
54923;6;7;8.0
54924;6;8;19.0
54925;6;9;33.0
54926;6;10;42.0
54927;6;11;63.0
54928;6;12;67.0
54929;6;13;70.0
54930;6;14;53.0
54931;6;15;52.0
54932;6;16;45.0
54933;6;17;54.0
54934;6;18;20.0
54935;6;19;27.0
54936;6;20;44.0
54937;6;21;12.0
54938;6;22;57.0
54939;6;23;67.0
54940;6;24;62.0
54941;6;25;65.0
54942;6;26;77.0
54943;6;27;82.0
54944;6;28;74.0
54945;6;29;66.0
54946;6;30;59.0
54947;6;31;56.0
54948;6;32;59.0
54949;6;33;61.0
54950;6;34;38.0
54951;6;35;40.0
54952;6;36;51.0
54953;6;37;63.0
54954;6;38;45.0
54955;6;39;54.0
54956;6;40;66.0
54957;6;41;55.0
54958;6;42;61.0
54959;6;43;73.0
54960;6;44;33.0
54961;6;45;35.0
54962;6;46;36.0
54963;6;47;34.0
54964;6;48;27.0
54965;6;49;20.0
54966;6;50;15.0
54967;6;51;4.0
54968;6;52;9.0
54969;6;53;16.0
54970;6;54;25.0
54971;6;55;33.0
54972;6;56;37.0
54973;6;57;43.0
54974;6;58;54.0
54975;6;59;69.0
54976;6;60;65.0
54977;6;61;73.0
54978;6;62;70.0
54979;6;63;74.0
54980;6;64;60.0
54981;6;65;40.0
54982;6;66;19.0
54983;6;67;49.0
54984;6;68;40.0
54985;6;69;31.0
54986;7;1;72.0
54987;7;2;55.0
54988;7;3;46.0
54989;7;4;32.0
54990;7;5;15.0
54991;7;6;8.0
54992;7;8;11.0
54993;7;9;25.0
54994;7;10;34.0
54995;7;11;55.0
54996;7;12;60.0
54997;7;13;64.0
54998;7;14;49.0
54999;7;15;49.0
55000;7;16;42.0
55001;7;17;47.0
55002;7;18;15.0
55003;7;19;35.0
55004;7;20;40.0
55005;7;21;7.0
55006;7;22;64.0
55007;7;23;75.0
55008;7;24;70.0
55009;7;25;73.0
55010;7;26;85.0
55011;7;27;89.0
55012;7;28;81.0
55013;7;29;72.0
55014;7;30;65.0
55015;7;31;62.0
55016;7;32;64.0
55017;7;33;63.0
55018;7;34;38.0
55019;7;35;45.0
55020;7;36;59.0
55021;7;37;58.0
55022;7;38;43.0
55023;7;39;54.0
55024;7;40;58.0
55025;7;41;46.0
55026;7;42;52.0
55027;7;43;65.0
55028;7;44;26.0
55029;7;45;27.0
55030;7;46;28.0
55031;7;47;26.0
55032;7;48;20.0
55033;7;49;15.0
55034;7;50;7.0
55035;7;51;6.0
55036;7;52;16.0
55037;7;53;24.0
55038;7;54;32.0
55039;7;55;41.0
55040;7;56;45.0
55041;7;57;51.0
55042;7;58;62.0
55043;7;59;77.0
55044;7;60;73.0
55045;7;61;81.0
55046;7;62;78.0
55047;7;63;82.0
55048;7;64;68.0
55049;7;65;49.0
55050;7;66;24.0
55051;7;67;41.0
